"Level","Category","File","Line","Message","Tool"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineGuiCommand.java","13","Perhaps 'configManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/MineStatsListener.java","35","The method 'findMineByLocation(Location)' has an NPath complexity of 294, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/guis/MineVisitorsGUI.java","28","The method 'openGUI(Player, int)' has an NPath complexity of 480, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineDebugCommand.java","13","Perhaps 'mineManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineGuiCommand.java","12","Perhaps 'mineManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineStatsSyncCommand.java","13","Perhaps 'mineManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/guis/MineExpandGUI.java","22","The method 'openGUI(Player)' has an NPath complexity of 872, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/GUIListener.java","37","The method 'onInventoryClick(InventoryClickEvent)' has an NPath complexity of 240, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineReloadCommand.java","13","Perhaps 'mineManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineSaveStatsCommand.java","13","Perhaps 'mineManager' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineTabCompleter.java","24","The method 'onTabComplete(CommandSender, Command, String, String)' has an NPath complexity of 864, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineRemoveCommand.java","16","Perhaps 'plugin' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineAddCommand.java","16","Perhaps 'plugin' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/GUIListener.java","178","The method 'handleVisitorsGUIClick(Player, ItemStack, int, String, InventoryClickEvent)' has an NPath complexity of 4464, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineDebugCommand.java","15","Perhaps 'plugin' could be replaced by a local variable.","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/utils/MineCommandUtils.java","84","The method 'formatDuration(long)' has an NPath complexity of 378, current threshold is 200","PMD"
